,code,no_schools_in_building,ratings,status,rating
164,K825,1,[9.],Same,9.0
165,K917,2,[9.],Same,9.0
166,K026,3,[9.],Same,9.0
167,K081,2,[3.],Same,3.0
168,K308,2,[6.],Same,6.0
169,K324,3,[6.],Same,6.0
170,K455,3,[3.],Same,3.0
171,K987,1,[9.],Same,9.0
172,K002,3,[10.],Same,10.0
173,K006,1,[9.],Same,9.0
174,K022,2,[10.],Same,10.0
175,K092,2,[1.],Same,1.0
176,K138,2,[1.],Same,1.0
177,K181,2,[9.],Same,9.0
178,K246,2,[8.],Same,8.0
179,K249,1,[1.],Same,1.0
180,K289,2,[8.],Same,8.0
181,K391,2,[3.],Same,3.0
182,K397,1,[4.],Same,4.0
183,K398,2,[6.],Same,6.0
184,K399,1,[1.],Same,1.0
185,K440,4,[8.],Same,8.0
186,K465,5,[8.],Same,8.0
187,K590,1,[7.],Same,7.0
188,K600,2,[5.],Same,5.0
189,K625,2,[9.],Same,9.0
190,K824,1,[8.],Same,8.0
191,K907,2,[9.],Same,9.0
192,K909,2,[9.],Same,9.0
193,K066,2,[10.],Same,10.0
194,K114,2,[9.],Same,9.0
195,K115,1,[8.],Same,8.0
196,K211,2,[8.],Same,8.0
197,K233,2,[7.],Same,7.0
198,K235,1,[3.],Same,3.0
199,K244,2,[9.],Same,9.0
200,K279,2,[9.],Same,9.0
201,K366,1,[10.],Same,10.0
202,K415,3,[6.],Same,6.0
203,K515,6,[6.],Same,6.0
204,K007,2,[9.],Same,9.0
205,K013,2,[1.],Same,1.0
206,K072,3,[5.],Same,5.0
207,K166,3,[9.],Same,9.0
208,K190,2,[9.],Same,9.0
209,K224,2,[9.],Same,9.0
210,K302,3,[8.],Same,8.0
211,K346,2,[1.],Same,1.0
212,K420,6,[7.],Same,7.0
213,K422,3,[10.],Same,10.0
214,K615,1,[6.],Same,6.0
215,K660,2,[9.],Same,9.0
216,K798,2,[10.],Same,10.0
217,K814,1,[10.],Same,10.0
218,K069,1,[10.],Same,10.0
219,K160,1,[8.],Same,8.0
220,K170,1,[9.],Same,9.0
221,K176,1,[7.],Same,7.0
222,K201,1,[8.],Same,8.0
223,K204,1,[6.],Same,6.0
224,K205,1,[9.],Same,9.0
